timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
625660.6604025001, -9.297464066147805, 1.5603547860682012, 2.5134199471771717, 0.005683533381670713, 0.00040909595554694533, -0.00963643565773964
625660.6704025001, -9.205706634521485, 1.548529669493437, 2.4453121639788153, 0.004263316281139851, 0.018660355359315872, 0.006711987778544426
625660.6804015001, -9.200017293691635, 1.4911987432837488, 2.3936694091558457, 0.0019743298180401325, 0.025074046105146408, 0.01889941096305847
625660.6904005001, -9.271269709467889, 1.4429989752173424, 2.4514494015276433, -0.0034596773330122232, 0.015857478603720665, 0.018610039725899696
625660.7003995001, -9.356591110825539, 1.4097679330408575, 2.4854280102252964, -0.0021664462983608246, 0.0128739383071661, 0.012269852682948112
625660.7103995001, -9.343721389174462, 1.3904588189721108, 2.4607309792935848, 0.00013496907195076346, 0.013985645025968552, 0.009624380618333817
625660.7203985001, -9.34806002318859, 1.3715976016223432, 2.4923144222795965, 0.0035890890285372734, 0.009453210979700089, 0.00898788496851921
625660.7303975, -9.398955357670784, 1.325792999267578, 2.550543773174286, 0.0044990237802267075, 0.0020915574859827757, 0.006319113075733185
625660.7403965, -9.466015904545785, 1.2834312374889851, 2.571949260234833, 0.0011306577362120152, 0.009821648709475994, 0.007554288022220135
625660.7503965, -9.516011937260629, 1.2822337277233602, 2.545753295570612, 0.003670141566544771, 0.005016637034714222, 0.006985064595937729
625660.7603955, -9.42604901611805, 1.2940589904785156, 2.5201569628715514, 0.004490927793085575, -0.0019371428061276674, 0.004285418428480625
625660.7703945, -9.398954188227654, 1.3412109375, 2.446211173385382, -0.0027399472892284393, -0.009902582503855228, 0.0006379345431923866
625660.7803935, -9.444009323716164, 1.4184501712024213, 2.3902258376777175, -0.007925653830170631, -0.013416623696684837, -0.003931250888854265
625660.7903935, -9.39131947875023, 1.4828161749243738, 2.292928169220686, -0.012121417559683323, -0.01578160747885704, -0.005005503073334694
625660.8003925, -9.318870137929917, 1.5393986575305463, 2.2074566406011584, -0.009087012149393559, -0.01618853770196438, -0.004416944459080696
625660.8103915, -9.317823486328125, 1.5323634338378906, 2.110757580846548, -0.005037600174546242, -0.006140498444437981, -0.005385040771216154
625660.8203905, -9.293721263408662, 1.5136519052088262, 2.0435479299724104, -0.002616786863654852, 0.005285793915390968, 0.00032477639615535736
